username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kelly_ramona;2017-09-15 23:50;1;1;"Good Lesson - don't be a heroin dealer and run over police and you won't get shot !";;;;"908900796468736000";https://twitter.com/kelly_ramona/status/908900796468736000
mgc0083;2017-09-15 23:34;0;0;"Folks who decide to sell Heroin get no real sympathy from me because they kill a lot of people, themselves. And they couldn't care less.";;;;"908896863453097984";https://twitter.com/mgc0083/status/908896863453097984
earthtooolex;2017-09-15 23:34;0;2;"me: i don't wanna do heroin anyone: we'll get McDonald's after me: oh alright fine";;;;"908896827646210048";https://twitter.com/earthtooolex/status/908896827646210048
anbarber1980;2017-09-15 23:23;1;2;"This man was an #undocumentedpharmacists . Now heroin addicts have to get another hook up. #blacktarmatters";;;#undocumentedpharmacists #blacktarmatters;"908894057312784386";https://twitter.com/anbarber1980/status/908894057312784386
realleogarc;2017-09-15 23:03;0;0;"Warning to all of you STL heroin dealers, do not ram police cars or you might get shot.";;;;"908889028375797760";https://twitter.com/realleogarc/status/908889028375797760
PeterPyke;2017-09-15 23:02;2;4;"Important read if you can get hold of it: How #DeepState imported & addicted #USA to cheap high-grade heroin out of #SouthEastAsia . https:// twitter.com/Evgeni_Gonzale z/status/908886675220307968 …";;;#DeepState #USA #SouthEastAsia;"908888847085314048";https://twitter.com/PeterPyke/status/908888847085314048
honeymoonjulia;2017-09-15 22:57;0;0;"@LanaDelRey sis you better make a vid for heroin and get free";;@LanaDelRey;;"908887425413500928";https://twitter.com/honeymoonjulia/status/908887425413500928
bigbrotherfan35;2017-09-15 22:56;0;2;"She took her son with her to get high off heroin ! #DeadlyWomen";;;#DeadlyWomen;"908887389036208128";https://twitter.com/bigbrotherfan35/status/908887389036208128
Azzrreall;2017-09-15 22:56;0;0;"Want to get rid of heroin . Leave Afghanistan we know who is bringing it over and giving it to children. Same as Nam. Wonder where money goes";;;;"908887242311176193";https://twitter.com/Azzrreall/status/908887242311176193
ayfkmrmeow;2017-09-15 22:36;0;0;"bout to sit back & watch a shit show unfold. heroin junkie con jobbing vanilla fam who think im "too negative" ok mfers, get me my popcorn!";;;;"908882285814042625";https://twitter.com/ayfkmrmeow/status/908882285814042625
The_Fluke4;2017-09-15 22:27;0;2;"Heroin (e) is amazing. 10/10 recommend. Real people, real stories, hits close to home. Doesn't even get political.";;;;"908879991437438978";https://twitter.com/The_Fluke4/status/908879991437438978
Deplorable_Lara;2017-09-15 21:43;0;1;"Sorry dude, this isn't a black/white issue. Its a nasty heroin dealer with a nasty lifestyle who did nasty things to try not to get arrested";;;;"908868827005333504";https://twitter.com/Deplorable_Lara/status/908868827005333504
Natalie_Ollom;2017-09-15 21:40;0;9;""Don't do that heroin shit just get burnt"";;;;"908868146148384768";https://twitter.com/Natalie_Ollom/status/908868146148384768
AndrewTKnudsen;2017-09-15 21:40;0;0;"Urban heroin dealer...as opposed to rural meth dealer. Let's all get our demographics straight. Geeesh.";;;;"908868072706101248";https://twitter.com/AndrewTKnudsen/status/908868072706101248
Deplorable_Lara;2017-09-15 21:39;2;2;"Yeah, hard for me to get worked up about a heroin dealer who tried to run down police then led them on high speed chase.. pic.twitter.com/zPuAgORL48";;;;"908867946331594752";https://twitter.com/Deplorable_Lara/status/908867946331594752
texasgirl3629;2017-09-15 21:38;0;1;"@nealfjr How many people did this heroin dealer kill or get hooked on http:// it.How many overdoses did he cause?";;@nealfjr;;"908867595926896640";https://twitter.com/texasgirl3629/status/908867595926896640
mchicon;2017-09-15 21:33;0;0;"Now, these people who never wanted to have a heroin dependency are hurt and burdened by it. We need to get people their meds back.";;;;"908866398017003520";https://twitter.com/mchicon/status/908866398017003520
RickyWesley7;2017-09-15 21:25;0;0;"All heroin dealers have guns is to prejudge and prejudice a person. Evidence is his prints not on the gun but yours are. Why? Get it?";;;;"908864319823142913";https://twitter.com/RickyWesley7/status/908864319823142913
bp_twrgrveast;2017-09-15 21:19;0;2;"For the freedom of heroin dealers that get shot while dealing their life destroying garbage?";;;;"908862911300345858";https://twitter.com/bp_twrgrveast/status/908862911300345858
Itz_Blackwell;2017-09-15 21:12;0;2;"i think kurt went out like a boss id love to get loaded on heroin and blast myself in the head then it really be my bitch of a wife";;;;"908861224615596037";https://twitter.com/Itz_Blackwell/status/908861224615596037
mchicon;2017-09-15 21:05;0;0;"Of course, there is a crazy theory that they needed to move all that heroin from Afghanistan and that was the best way to get people on it.";;;;"908859413779419137";https://twitter.com/mchicon/status/908859413779419137
